iter	Passed	Remaining
0	8	4046
1	11	2935
2	18	3111
3	25	3134
4	31	3150
5	38	3188
6	44	3153
7	50	3132
8	57	3109
9	64	3172
10	71	3181
11	79	3239
12	87	3277
13	94	3273
14	101	3278
15	108	3295
16	116	3309
17	125	3347
18	131	3340
19	140	3367
20	147	3367
21	155	3372
22	162	3376
23	170	3380
24	177	3374
25	185	3374
26	192	3375
27	200	3383
28	207	3366
29	216	3395
30	225	3406
31	233	3416
32	241	3417
33	245	3369
34	253	3370
35	262	3389
36	272	3408
37	280	3412
38	288	3405
39	296	3404
40	303	3401
41	312	3406
42	322	3423
43	330	3423
44	338	3423
45	346	3420
46	355	3423
47	362	3413
48	369	3401
49	378	3407
50	386	3401
51	395	3409
52	404	3411
53	411	3402
54	419	3393
55	427	3392
56	435	3388
57	444	3387
58	454	3399
59	462	3390
60	473	3405
61	482	3407
62	490	3403
63	498	3398
64	507	3397
65	517	3401
66	526	3401
67	535	3402
68	543	3395
69	551	3390
70	559	3383
71	571	3396
72	579	3390
73	589	3395
74	597	3386
75	605	3380
76	615	3381
77	626	3388
78	634	3383
79	643	3380
80	652	3376
81	661	3373
82	670	3367
83	679	3364
84	687	3354
85	695	3346
86	703	3341
87	713	3340
88	721	3333
89	730	3327
90	738	3320
91	747	3314
92	759	3323
93	769	3321
94	777	3315
95	789	3321
96	799	3319
97	807	3312
98	815	3302
99	823	3295
100	833	3291
101	841	3282
102	851	3280
103	860	3276
104	868	3268
105	878	3266
106	886	3257
107	898	3260
108	911	3269
109	918	3257
110	926	3248
111	934	3237
112	942	3228
113	950	3219
114	959	3211
115	970	3213
116	980	3208
117	989	3202
118	997	3195
119	1006	3188
120	1016	3183
121	1025	3178
122	1036	3177
123	1046	3173
124	1055	3167
125	1064	3160
126	1073	3153
127	1082	3145
128	1093	3143
129	1101	3136
130	1111	3130
131	1120	3124
132	1129	3116
133	1137	3107
134	1146	3100
135	1154	3090
136	1167	3093
137	1179	3093
138	1188	3087
139	1197	3078
140	1204	3067
141	1212	3057
142	1222	3051
143	1231	3043
144	1242	3040
145	1250	3032
146	1259	3023
147	1267	3015
148	1276	3006
149	1286	3001
150	1294	2992
151	1308	2996
152	1318	2990
153	1327	2982
154	1335	2973
155	1346	2969
156	1355	2960
157	1367	2960
158	1376	2952
159	1384	2942
160	1393	2934
161	1402	2926
162	1411	2917
163	1419	2907
164	1428	2899
165	1438	2894
166	1447	2886
167	1455	2876
168	1463	2865
169	1471	2855
170	1479	2845
171	1488	2838
172	1497	2829
173	1505	2820
174	1512	2809
175	1520	2798
176	1527	2787
177	1534	2776
178	1543	2768
179	1552	2759
180	1561	2751
181	1569	2741
182	1577	2733
183	1585	2723
184	1593	2713
185	1603	2707
186	1611	2697
187	1622	2691
188	1630	2682
189	1638	2674
190	1647	2665
191	1655	2656
192	1664	2647
193	1672	2638
194	1682	2630
195	1691	2622
196	1699	2613
197	1707	2604
198	1717	2597
199	1725	2588
200	1733	2579
201	1742	2570
202	1751	2562
203	1759	2552
204	1766	2542
205	1774	2532
206	1782	2523
207	1791	2514
208	1802	2509
209	1815	2507
210	1825	2500
211	1834	2492
212	1842	2483
213	1854	2478
214	1863	2469
215	1871	2461
216	1880	2452
217	1889	2444
218	1898	2436
219	1907	2427
220	1914	2417
221	1923	2408
222	1931	2399
223	1941	2391
224	1950	2384
225	1959	2375
226	1968	2366
227	1976	2357
228	1987	2351
229	1999	2346
230	2008	2338
231	2016	2329
232	2025	2320
233	2034	2312
234	2044	2306
235	2053	2297
236	2064	2290
237	2074	2284
238	2085	2276
239	2094	2269
240	2103	2260
241	2114	2254
242	2124	2246
243	2135	2240
244	2145	2232
245	2156	2226
246	2165	2217
247	2175	2210
248	2183	2201
249	2193	2193
250	2204	2187
251	2213	2178
252	2223	2170
253	2232	2161
254	2240	2153
255	2249	2144
256	2259	2136
257	2268	2127
258	2275	2117
259	2283	2107
260	2291	2098
261	2299	2088
262	2307	2079
263	2316	2070
264	2326	2063
265	2334	2053
266	2343	2044
267	2350	2035
268	2359	2026
269	2367	2016
270	2375	2007
271	2384	1998
272	2393	1990
273	2402	1981
274	2410	1972
275	2419	1963
276	2427	1954
277	2435	1945
278	2444	1936
279	2453	1927
280	2463	1919
281	2471	1910
282	2480	1901
283	2488	1892
284	2497	1883
285	2505	1874
286	2513	1865
287	2521	1856
288	2531	1847
289	2538	1838
290	2546	1828
291	2554	1819
292	2561	1809
293	2570	1801
294	2579	1792
295	2590	1785
296	2599	1776
297	2607	1767
298	2616	1758
299	2625	1750
300	2634	1741
301	2644	1733
302	2653	1725
303	2664	1717
304	2672	1708
305	2681	1700
306	2690	1691
307	2701	1684
308	2710	1675
309	2720	1667
310	2730	1659
311	2739	1650
312	2749	1642
313	2762	1636
314	2773	1628
315	2785	1621
316	2797	1614
317	2810	1608
318	2823	1602
319	2832	1593
320	2842	1585
321	2851	1576
322	2860	1567
323	2868	1558
324	2877	1549
325	2886	1540
326	2894	1531
327	2906	1523
328	2918	1517
329	2928	1508
330	2939	1500
331	2948	1492
332	2957	1483
333	2966	1474
334	2975	1465
335	2984	1456
336	2992	1447
337	3001	1438
338	3011	1430
339	3022	1422
340	3032	1414
341	3042	1405
342	3052	1397
343	3060	1387
344	3070	1379
345	3078	1370
346	3088	1361
347	3098	1353
348	3109	1345
349	3119	1336
350	3128	1328
351	3136	1318
352	3145	1309
353	3153	1300
354	3164	1292
355	3172	1283
356	3182	1274
357	3190	1265
358	3198	1256
359	3206	1246
360	3215	1238
361	3225	1229
362	3236	1221
363	3245	1212
364	3253	1203
365	3262	1194
366	3269	1184
367	3279	1176
368	3287	1167
369	3299	1159
370	3307	1150
371	3316	1141
372	3324	1132
373	3332	1122
374	3340	1113
375	3348	1104
376	3357	1095
377	3366	1086
378	3376	1078
379	3384	1068
380	3393	1059
381	3401	1050
382	3409	1041
383	3417	1032
384	3425	1023
385	3434	1014
386	3442	1005
387	3450	995
388	3457	986
389	3465	977
390	3473	968
391	3482	959
392	3490	950
393	3498	941
394	3507	932
395	3515	923
396	3523	914
397	3531	905
398	3540	896
399	3549	887
400	3557	878
401	3565	869
402	3573	860
403	3581	850
404	3588	841
405	3596	832
406	3604	823
407	3613	814
408	3620	805
409	3629	796
410	3637	787
